Manuscrit,Numérisation,Notes
"Karlsruhe, Badische Landesbibl. Aug. XL",Manoscritti giuridici medievali,
"Klagenfurt, Bischöfliche Bibl. XXIX a.3",/,
"Klosterneuburg, Stiftsbibl., cod. 87",/,
"Klosterneuburg, Stiftsbibl., cod. 89",/,
"Klosterneuburg, Stiftsbibl., cod. 295",/,
"Klosterneuburg, Stiftsbibl., cod. 656",/,
"Klosterneuberg, Stiftsbibl. 1048",/,
"Köln, Dombibl., 129",Manoscritti giuridici medievali,
"Kraków (Cracovie), 356",Manoscritti giuridici medievali,
"Kraków (Cracovie), 357",Manoscritti giuridici medievali (MF de mauvaise qualité),
"Laon, Bibl. mun., 371bis",CiSaMe has full HD ms,
"Laon, Bibl. mun., 385",/,
"Laon, Bibl. mun., 476",CiSaMe has MF,
"Leipzig, Universitätsbibliothek, 928",/,
"Leipzig, Universitätsbibliothek, 958",CiSaMe has full HD ms,
"Leipzig, Universitätsbibliothek, 975",https://digital.ub.uni-leipzig.de/mirador/index.php#74807761-fb25-4d49-90f5-0e65755886d2,
"Leipzig, Universitätsbibliothek, 983",https://digital.ub.uni-leipzig.de/mirador/index.php#9b4280ce-d7b6-4c51-8ff8-27f896dafe95,
"Leipzig, Universitätsbibliothek, 984",https://digital.ub.uni-leipzig.de/mirador/index.php#013ed11f-a9bd-43c9-ba89-18cae74f413c,
"Leipzig Universitätsbibliothek, 986",https://digital.ub.uni-leipzig.de/mirador/index.php#ed3a653a-b449-4ca3-92ad-ce9290773726,
"Leipzig Universitätsbibliothek, 1012",CiSaMe has full HD ms,
"Leipzig, Universitätsbibliothek, Haenel 17",Manoscritti giuridici medievali (MF)CiSaMe has full HD ms,
"Liège, Bibl. univer., 127.E",CiSaMe has full HD ms,
"Lilienfeld, Stiftsbibl. 220",https://manuscripta.at/hs_detail.php?ID=32428,
"Lilienfeld, Stiftsbibl. 222.49",https://manuscripta.at/?ID=32430,
"Lilienfeld, Stiftsbibl. 223",https://manuscripta.at/?ID=32431,
"Lincoln, Cathedral Library, 2",/,
"Lincoln, Cathedral Library, 137",/,
"London, B.L. Arundel 490",http://www.bl.uk/manuscripts/Viewer.aspx?ref=arundel_ms_490_fs00L1r,
"London, B.L. Cotton Vit. A.iii",Manoscritti giuridici medievali,
"London, B.L., Harley 1967",?,
"London, B.L., Royal 6 B X",Manoscritti giuridici medievali,
"London, B.L. Royal 9.A.viii",/,
"London, B.L. Royal 9 E vii,",/,
"London, B.L. Royal 10. B. IV",Manoscritti giuridici medievali,
"London, B.L. Royal 11.A.ii,",Manoscritti giuridici medievali,
"London, BL Royal 11 D.II",/,
"London, B.L., Add. 8873",http://www.bl.uk/manuscripts/Viewer.aspx?ref=add_ms_8873_fs001r,
"London, B.L., Add. 24659",/,
"London, Lambeth Palace 80",Manoscritti giuridici medievali,
"London, Lambeth Palace 105",/,
"London, Lambeth Palace 139",Manoscritti giuridici medievali,
"London, Lambeth Palace 449",Manoscritti giuridici medievali,
"Lons-le-Saunier, Archives départementales, 12 F.16",/ (Atria has microfilm images),
"Lublin, Bibl. Uniwer. Katol. 1",/,
"Luxembourg, B.N., 135",https://viewer.eluxemburgensia.lu/ark:70795/smd8vk/pages/420,
"Luxembourg, B.N., 139",Manoscritti giuridici medievaliCiSaMe has full HD – 20 pagesFull MS to come on the website,
